Car_Name_old,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Matched_Car,Car_Name_new,Power_BHP,Mileage_kmpl,Price_Lakhs,Brand,Brand_Goodwill
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,maruti wagon r,maruti wagon r,73.0,28.5,5.79,maruti,120.4458064516129
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,maruti swift,maruti swift,74.5,28.0,6.49,maruti,120.4458064516129
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,maruti s-presso,maruti s-presso,61.0,28.0,4.26,maruti,120.4458064516129
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,maruti dzire,maruti dzire,74.5,28.5,6.84,maruti,120.4458064516129
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,maruti wagon r,maruti wagon r,73.0,28.5,5.79,maruti,120.4458064516129
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,maruti ignis,maruti ignis,82.0,20.0,5.85,maruti,120.4458064516129
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,maruti wagon r,maruti wagon r,73.0,28.5,5.79,maruti,120.4458064516129
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,maruti swift,maruti swift,74.5,28.0,6.49,maruti,120.4458064516129
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,maruti swift,maruti swift,74.5,28.0,6.49,maruti,120.4458064516129
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,maruti swift,maruti swift,74.5,28.0,6.49,maruti,120.4458064516129
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,maruti swift,maruti swift,74.5,28.0,6.49,maruti,120.4458064516129
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,maruti dzire,maruti dzire,74.5,28.5,6.84,maruti,120.4458064516129
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,maruti dzire,maruti dzire,74.5,28.5,6.84,maruti,120.4458064516129
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,maruti baleno,maruti baleno,82.0,26.0,6.7,maruti,120.4458064516129
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,maruti alto k10,maruti alto k10,62.0,28.5,4.23,maruti,120.4458064516129
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,maruti dzire,maruti dzire,74.5,28.5,6.84,maruti,120.4458064516129
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,maruti wagon r,maruti wagon r,73.0,28.5,5.79,maruti,120.4458064516129
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,maruti ertiga,maruti ertiga,94.5,23.0,8.97,maruti,120.4458064516129
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,maruti ciaz,maruti ciaz,96.0,24.0,9.42,maruti,120.4458064516129
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,toyota innova crysta,toyota innova crysta,148.0,19.326771653543307,19.99,toyota,49.07583333333333
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,,,144.33815028901734,19.326771653543307,,unknown,120.4458064516129
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,mercedes-benz g-class,mercedes-benz g-class,451.5,6.0,255.0,mercedes-benz,179.01666666666668
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,toyota fortuner,toyota fortuner,182.5,12.0,36.05,toyota,49.07583333333333
